Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills,"Are you available for 3 months, starting immediately, for a full-time work from home internship? ",Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10
,1,0,0,1,"MS-Excel, MS-Word, Deep Learning, MySQL, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Vocation (B.Voc.),Software Engineering,2021,N/A,6.50/7,N/A,N/A
,2,0,0,0,"Git, GitHub, Linux, Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Amazon Web Services (AWS), AngularJS, C Programming, C++ Programming, CSS, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Docker, Figma, Firebase, Google Cloud Computing, HTML, Java, JavaScript, MS-Excel, MongoDB, Node.js, Postman, Python, REST API, ReactJS, SQL, Selenium, TypeScript, Database Testing","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,8.90/10,N/A,N/A
,2,2,0,0,"Amazon Web Services (AWS), Docker, Hadoop, MS-Excel, Machine Learning, Python, SQL, Power BI","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Science (M.S.),Data Science And Analytics,2022,N/A,N/A,N/A,N/A
,3,2,2,0,"Adobe XD, BIG DATA ANALYTICS, Canva, Data Analytics, Data Science, Figma, MS-Excel, MS-PowerPoint, Python, Adobe Photoshop, C++ Programming, Data Structures, Machine Learning, Natural Language Processing (NLP), SQL, Tableau, Amazon Web Services (AWS), Computer Vision","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),,2024,N/A,N/A,85.60/85.60,10.00/10.00
,2,2,0,0,"C++ Programming, Data Science, Machine Learning, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2023,N/A,8.10/10,93.40/93.40,10.00/10.00
,2,2,0,2,"Data Analytics, Data Science, MS-Excel, R Programming, Statistical Modeling, Artificial Intelligence, Deep Learning, Machine Learning, Neural Networks, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",BS in Data Science and Applications,Statistics,2022,N/A,7.09/10,N/A,N/A
,2,1,2,0,"C++ Programming, CSS, Data Analytics, HTML, MS-Excel, Natural Language Processing (NLP), Python, Data Science, Google Analytics, Machine Learning, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Electronics and Telecommunication Engineering (ETE),2024,N/A,8.69/10,N/A,N/A
,2,2,0,1,"Atmel AVR, Data Analytics, Data Science, MS-Excel, Machine Learning, Power BI, Python, Raspberry Pi, SQL, Computer Vision, Deep Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",PGP,Data Science And Machine Learning,2023,N/A,6.80/10,75.20/75.20,8.80/8.80
,2,1,1,0,"C++ Programming, Data Analytics, Data Structures, Git, GitHub, Java, Python, SQL, Artificial intelligence, Data Science, Database Management System (DBMS), Machine Learning, Natural Language Processing (NLP)","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Information and Communication Technology,2023,N/A,7.71/10,89.90/89.90,10.00/10.00
,2,2,0,1,"Android, Artificial Intelligence, C Programming, C++ Programming, Data Analytics, Data Structures, Database Management System (DBMS), Java, Machine Learning, Python, SQL, Cloud Computing, Data Science, Deep Learning, German Proficiency (Spoken), Linux, Neural Networks, SQLite","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),computer science,2025,8.50/10,N/A,N/A,N/A
,2,0,0,0,"MS-Excel, MS-PowerPoint, Power BI, Python, R Programming, Visual Basic (VB)","Yes, I am available for 3 months starting immediately for a full-time internship.",MBA,Analytics And Finance,2023,7.45/8,83.65/100,74.50/74.50,9.60/9.60
,2,2,0,1,"MS-Excel, Artificial Intelligence, Data Analytics, Data Science, Data Structures, Machine Learning, MySQL, Python, C++ Programming, Computer Vision, Deep Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Information Technology,2023,N/A,7.85/10,76.80/76.80,81.00/81.00
,1,1,0,0,"MS-Excel, Data Analytics, Data Science, Database Management System (DBMS), Machine Learning, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Commerce (B.Com),Commerce,2024,N/A,N/A,N/A,N/A
,2,2,0,0,"Data Analytics, MS-Excel, Machine Learning, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Instrumentation and Control Engineering,2022,N/A,7.31/10,69.00/69.00,N/A
,1,1,0,0,"CSS, Data Analytics, Database Management System (DBMS), HTML, Java, MS-Excel, Power BI, Tableau, Data Science, Machine Learning, MySQL, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2024,N/A,7.00/10,N/A,N/A
,2,2,1,2,"Database Management System (DBMS), English Proficiency (Written), MS-Excel, MS-Word, C Programming, Creative Writing, Data Analytics, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), Figma, Java, MS SQL Server, MS-Office, MS-PowerPoint, Machine Learning, Python, SQL, UI & UX Design, Video Editing, Apache, Blogging, Computer Vision, Natural Language Processing (NLP), Search Engine Optimization (SEO), Social Media Marketing, User Interface (UI) Development","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,N/A,9.80/10,N/A,N/A
,0,0,0,0,Software Testing,"Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Electronics and Communication,2019,N/A,N/A,N/A,N/A
,2,2,0,0,"Unix, BIG DATA ANALYTICS, Java, Machine Learning, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Electrical and Electronics Engineering,2022,N/A,N/A,N/A,N/A
,0,2,0,0,"Data Analytics, HTML, Machine Learning, CSS, Java","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Computer Applications (MCA),Computer Applications,2023,8.20/10,8.30/10,92.00/92.00,95.00/95.00
,2,2,0,0,"Machine Learning, Python, C++ Programming, Computer Networks, Data Analytics, Data Science, MS-Excel","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Electronics and Telecommunication Engineering (ETE),2023,8.70/10,N/A,N/A,N/A
,3,3,3,3,"Data Analytics, Deep Learning, Flask, Image Processing, MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Python, Power BI, Tableau","Yes, I am available for 3 months starting immediately for a full-time internship.",Post Graduate Diploma in Management (P.G.D.M.),Data Science And Business Analytics,2022,N/A,N/A,N/A,N/A
,2,1,0,0,"Python, Artificial Intelligence, Data Analytics, Machine Learning, Microsoft Azure, R Programming","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),,2023,N/A,N/A,N/A,N/A
,2,2,0,1,"MS-Excel, Machine Learning, Power BI, Python, SQL, Data Analytics, Data Science, Deep Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",M.Sc. in Data Science,Data Science,2023,8.50/10,N/A,N/A,N/A
,2,2,2,1,"C++ Programming, Chemistry, English Proficiency (Spoken), Machine Learning, Mathematics, Natural Language Processing (NLP), Physics, Python, SQL, Unity 3D, Algorithms, Android, Artificial intelligence, Blender 3D, C Programming, C#.NET, CSS, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, Django, English Proficiency (Written), HTML, MS-Excel, MS-Office, MongoDB, Tableau, Unity Engine","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech (Hons.),Computer Science,2023,N/A,N/A,76.90/76.90,10.00/10.00
,0,0,0,0,"Accounting, English Proficiency (Spoken), MS-Excel, MS-Office","Yes, I am available for 3 months starting immediately for a full-time internship.",Post Graduate Diploma in Management (P.G.D.M.),Finance,2012,7.35/10,N/A,N/A,N/A
,2,2,1,0,"Algorithms, C++ Programming, Data Structures, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, Computer Vision, Data Analytics, Natural Language Processing (NLP)","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Electrical and Electronics Engineering,2024,7.55/10,N/A,9.28/9.28,90.60/90.60
,2,2,2,0,"MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Python, R Programming, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",BS in Data Science and Applications,,2024,N/A,N/A,N/A,N/A
,2,1,0,0,"Data Analytics, MS-Excel, Python, Statistics, Machine Learning, SQL, Tableau","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Information Technology,2023,N/A,8.18/10,72.62/72.62,87.80/87.80
,2,2,0,0,"Amazon Web Services (AWS), Artificial Intelligence, Java, Machine Learning, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),,2023,N/A,N/A,N/A,N/A
,2,2,1,1,"Cloud Computing, Amazon Web Services (AWS), C Programming, Computer Networking, Java, Machine Learning, Python, Blockchain, CSS, Deep Learning, Flutter, Internet of Things (IoT), MySQL, Natural Language Processing (NLP), PHP, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Computer Applications (MCA),Networks And Communication,2023,5.54/10,7.28/10,59.30/59.30,7.00/7.00
,1,2,2,2,"Amazon Web Services (AWS), Artificial intelligence, Data Science, Database Management System (DBMS), Deep Learning, HTML, Machine Learning, MySQL, Natural Language Processing (NLP), SQL, Tableau, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Technology (M.Tech),Statistics Computing( DATA Science ),2022,N/A,59.00/100,8.90/8.90,7.60/7.60
,1,1,1,1,"English Proficiency (Spoken), English Proficiency (Written), AutoCAD, MS-Excel, MS-Office, Statistical Modeling, Statistics, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Project Management, Python, SPSS, SQL, Tableau","Yes, I am available for 3 months starting immediately for a full-time internship.",PG Diploma in Data Science,,2023,N/A,6.81/10,N/A,N/A
